source_id,stage,claim_supported,source_title,author_or_publication,source_type,primary_or_secondary,event_date,publication_date,access_date,url,archived_url,tier,evidence_class,confidence,independence_note,relevant_passage,notes
A2S-11,stage1,"The Faire's billed scale, venue and dates; a 1977 regional origin claim",West Coast Computer Faire flyer,"The Computer Faire / Jim Warren, chairperson","flyer, full item OCR",primary,1977-04-15/17,1977-02-16,2026-09-24,https://archive.org/details/hcccf,sources/ia_homebrew/hcccf.txt,1,CONTEMPORARY OBSERVATION,High,promoter's own document; not independent of A2S-12's circle,'San Francisco Bay Area - Where It All Started - Has Its First Home Computing Convention ... 200 Commercial & Homebrew Exhibits',Closes AP-11's venue/date question (C-6)
A2S-12,stage1,Earliest founder-plus-machine trace; the Faire dates in club print,Homebrew Computer Club Newsletters Vol 2 No 4 and No 11,Robert Reiling (ed.),club newsletter,primary,1976-04; 1976-12,1976-04-30; 1976-12-10,2026-09-24,https://archive.org/details/hcc0204 and hcc0211,sources/ia_homebrew/hcc0204.txt; hcc0211.txt,1,CONTEMPORARY OBSERVATION,High,"the April item is a reprinted letter from a DIFFERENT club (Sonoma County): provenance is per-item, not per-run",'In April the APPLE 6502 system was our special guest. We are grateful to STEVE WOZNIAK for providing transportation.',"No company reference in the club's print before this date (A2-05, A2-06)"
A2S-13,stage1,Absence of the third partner and of Markkula from in-window print; Apple's 1980 address and toll-free channel,BYTE December 1980 (Apple and third-party advertisements); BYTE February 1981,Apple Computer Inc; Mountain Computer; CCS; BYTE,trade magazine,primary,1980-12; 1981-02,1980-12; 1981-02,2026-09-24,https://archive.org/details/byte-magazine-1980-12,sources/ia_byte_1981/byte-1980-12.txt; byte-1981-02.txt,1,FACT (documented absence within these files),High,one corpus,"'Visit your nearest Apple dealer or call 800-538-9696 ... Apple Computer, 10260 Bandley Drive, Cupertino, CA 95014.'",Wayne as a person-name: 0 hits across all 30 cached files; Markkula: 1 hit (1981-02)
S1M-01,stage1,"Incorporation date 1977-01-03, California; the registrant's own exhibit pointers to paper-era filings","Apple Computer, Inc. Form 10-K FY1994, accession 0000320193-94-000016",SEC EDGAR (registrant filing),Registrant filing,primary,1994-09-30,1994-12-13,2026-09-24,https://www.sec.gov/Archives/edgar/data/320193/000032019394000016/,sources/10-K_FY1994_acc-0000320193-94-000016_filed-1994-12-13.txt,1,FACT (document text),High,same lineage as the company's other post-1994 filings and as the company's own history pages; NOT independent of the corporate record; earliest EDGAR text for this registrant is 1994-01-26,"Apple Computer, Inc. ... was incorporated under the laws of the State of California on January 3, 1977.","Carries the stage's end date and nothing about 1976-77 money, officers or operations"
S1M-02,stage1,"Existence, signatures, duties and 45/45/10 allocation of the 1976-04-01 partnership instrument; 1976-04-12 amendment letter",Christie's lot 242 catalogue and essay (Apple Computer Company partnership agreement),Auction house catalogue,Auction house catalogue,secondary,1976-04-01,2018 (sale reporting),2026-09-24,UNKNOWN (recorded in research/C_corporate_legal_org.md section 7),research/C_corporate_legal_org.md C-27/C-28/C-29/C-34,3,FACT (catalogue of a dated primary) / UNKNOWN (instrument text),Medium,"one object, several catalogue and press carriers - counted as one source; the instrument itself is unread by this project (D L-8)",Wayne's responsibilities were listed as 'Mechanical Engineering and Documentation',"Only dated equity allocation available for the founding period; underlies S1P2-CF-01 | MERGE COLLISION NOTE: s1_p3 row S1P3-S04 is this same object (Christie lot 242 plus Sotheby New York 2011-12-13 lot 241, one custody chain) and is folded here rather than appended: one lineage, one source (method 13); the dossier-local key CS-01 also lands on S1M-02"
S1M-03,stage1,The 50-boards-at-$500 transaction as stated by the commercial custodian; its dating to Spring 1976; its reliance on conversation with the merchant,RR Auction essay on the Apple Computer Company founding transaction,Auction house / commercial registry prose,secondary,1976 (claimed),2026,2026-09-24,UNKNOWN,research/D_adversarial.md L-1,3,FOUNDER CLAIM (retrospective, merchant memory embedded in vendor prose),Low,"vendor copy; not independent of the merchant it quotes; no invoice, dated correspondence or printed volume anchors it","fifty computers at five hundred dollars apiece, to retail at $666.66",Keystone of the first-customer canon; enters the conflict register only (S1P2-CF-03)
S1M-04,stage1,Surviving-serial artifact census for the Apple-1; the '10%' self-description carried by Wayne's own later letter,apple1registry collector pages (stories),Collector registry / artifact scholarship,Collector registry pages,secondary,1976/2018-2021,2021-2026,2026-09-24,UNKNOWN,sources/apple1registry_stories.txt,3,CONTEMPORARY OBSERVATION (of surviving artifacts) / RETROSPECTIVE INTERPRETATION (of production totals),Medium,"artifact evidence independent of the company's print, but its totals are survivor-based, and the Wayne sentence is written from his own letter",reduce the story about Ron Wayne to the point when he sold his 10% Apple share,Cannot supply a production count (D L-9); supports the 10% side of S1P2-CF-01 as retrospective self-report
S1M-05,stage1,Earliest user-side technical text about the machine; the club's roll of concerns naming 'Apple Computers',Homebrew Computer Club Newsletter Vol 2 No 9 (correspondence and club roll),Club newsletter (non-company primary),Club newsletter,primary,1976-09-15,1976-09-15,2026-09-24,https://archive.org/details/hcc0209,sources/ia_homebrew/hcc0209.txt,1,CONTEMPORARY OBSERVATION,High,"independent of the company and of the club organisers; not independent of A2S-12's Homebrew family (same publication, different issue)",I used Sony's TV 920 and TV750 for this modification to produce printout from the Apple Computer.,Underlies S1P2-08 and the user-side rungs of section L
S1M-06,stage1,"The untried and unanswered retrieval routes for Apple's Stage 1, with their exact error states","EDGAR submissions index and full-text probes, CIK 0000320193",US Securities and Exchange Commission / project retrieval log,Regulatory index and retrieval log,primary,1994-01-26,1994-01-26/2026,2026-09-26,NONE (local),sources/EDGAR_submissions_CIK0000320193.json and sources/probe_edgar_fts_*.json and sources/_RETRIEVAL_LOG.md,1,FACT (about the archive),High,"evidence about the record, never about 1976; the EDGAR floor is what makes the 1980 prospectus paper-only",the series begins 1994-01-26,"Anchors U.037-U.054; a 403 or 429 or 504 here is UNANSWERED, never a null"
S1M-07,stage1,"The churn denominator: competing machines, dealers and discontinued lines printed alongside Apple in 1976-77","BYTE and Homebrew dealer advertisements and technical pages, January 1976 to May 1977",trade-magazine advertising corpus,Periodical advertising corpus,primary,1976-01/1977-05,1976-01/1977-05,2026-09-24,https://archive.org/details/byte-magazine-1976-06,sources/ia_byte_1976/ and sources/ia_byte_1977/ (A2-63 A2-67 A2-68 A2-75),1,FACT (as printed),High,"many unrelated advertisers, each independent for its own line; a re-run campaign is one source with a duration",(Discontinued; limited to stock on hand.),Underpins section M.3 and supports no superiority inference (mechanism UNKNOWN)
S1M-08,stage1,"The maker's total non-appearance in its own year: no advertisement, no price, no address, no letterhead in any 1976 document",Exhaustive token censuses over twelve cached BYTE 1976 issues and thirteen Homebrew items,project census over Tier-1 text,Corpus census,secondary,1976,2026-09-24,2026-09-26,NONE (local),AP-22 as re-confirmed at A2-18 and A2-65; sources/ia_byte_1976/,1,FACT (documented absence),Medium-High,"two independent passes over one corpus - a check, not a second witness; logotype OCR risk stated at A2-11",NO_VERBATIM_PASSAGE_RECORDED,Anchor U.030; the pivotal negative of sections M and N
S1M-09,stage1,The untried fifth-family periodicals whose absence bounds every Stage-1 null in this volume,Kilobaud 1976; Creative Computing 1976-1978; InfoWorld; 73; Softalk; People's Computer Company; Radio Electronics,named but un-intaked periodical families,Periodical family,n/a,1975/1980,n/a,2026-09-26,NONE,none - never intaked,n/a,NOT ATTEMPTED,n/a,"untried, therefore not a null and not a corroboration; a corpus gap and not a record gap",NO_VERBATIM_PASSAGE_RECORDED,"Anchors U.037, U.038, U.046, U.052; method section 14 rule 6"
S1M-10,stage1,"Earliest US patent application naming Apple as assignee, which post-dates the stage boundary; the first product was never patented",US patent register result set read through a public aggregator (dossier record C-35),USPTO register as served by a public aggregator; read by dossier C,Government register via third-party search interface,secondary,1977-04-11,1979-01-23,2026-09-24,UNKNOWN (aggregator query recorded in research/C_corporate_legal_org.md C-35),not held as bytes; register result only,2,FACT (of the register dates),Medium,"one search, page 2 of the result set not read: a search null, not a register null (U.034, U.053). MERGE-MINTED to give the cited dossier-local key CS-05 a global home; no evidence added beyond what s1_p2 record S1P2-12 and the s1_p3 1977-04-11 timeline row already carry",NO_VERBATIM_PASSAGE_RECORDED,Cited as CS-05 (local) by s1_p3 timeline row 1977-04-11 and as C-35 by s1_p2 S1P2-12; canonical id assigned centrally per method 13
