company,stage,date_or_range,event,actors,location,source_id,evidence_class,confidence,conflict_ref,notes
Apple,stage1,1977-05,Wozniak publishes 'The Apple-II' at page 3 of BYTE under an Apple Computer Co Cupertino byline,Stephen Wozniak,Cupertino CA 95014,A2S-06,FOUNDER CLAIM (contemporaneous),High,U-A2-2,Dates the Apple-I design to late 1975; attributes distribution to word of mouth then retail
Apple,stage1,1977-05,"Computer Mart of New York moves to a new showroom, lists APPLE among about 25 lines, claims East-Coast store primacy",Stanley Veit,New York NY,A2S-06,FACT plus third-party primacy claim,High,U-A2-5,Same retailer as the September 1976 Apple-1 advertisement
Apple,stage1,1977-06,"Apple's first self-published BYTE advertisement: full 4K-48K price ladder, mail order, postage paid, dealer-referral phone",Apple Computer Inc,"20863 Stevens Creek Blvd Bldg B3-C, Cupertino CA",A2S-07,FACT,High,U-A2-6,Maker's printed voice begins nine months after dealers advertised the product
Apple,stage1,1977-07,Apple advertisement re-runs as a three-page front-of-book placement (pages 22-24),Apple Computer Inc,Cupertino CA,A2S-08,FACT,High,None,Advertiser index fixes the pages
Apple,stage2,1980-12,Apple shares go on sale; 4.6M shares at $22 printed as 8% of 52.4M,Apple; underwriters,New York / Cupertino,A2S-09,FACT (as printed),High,U-A2-9,Post-stage; admitted only as the far-side witness
Apple,stage2,1981-02,BYTE prints the FY1978-FY1980 revenue series and the pre-IPO cap table; Ronald Wayne appears nowhere in it,BYTE column; Jobs; Wozniak; Markkula; Venrock; Xerox,Peterborough NH,A2S-09 and A2S-13,FACT (as printed),High,U-A2-10,Wayne's absence is a record-selection finding (A2-73)
Apple,stage1,1976-04-01,"Three-page typed Apple Computer Company partnership agreement signed by Stephen G. Wozniak, 'steven p jobs' and Ronald Wayne; allocation 45/45/10 and three functional duties as catalogued",Wozniak; Jobs; Wayne,"[Mountain View], California",S1M-02 (was CS-01 local),"FACT (dated instrument as catalogued) / UNKNOWN (text)",High (existence) / Medium (contents),U.001; U.005; U.014,Instrument unread by this project; no 1976 print names the partnership
Apple,stage1,1976-04-12,"One-page 'Amendment letter to the above' signed by all three, eleven days after formation; the catalogue links it to Wayne's withdrawal in exchange for $800",Wozniak; Jobs; Wayne,UNKNOWN,S1M-02 (was CS-01 local),"FACT (dated instrument) / FOUNDER CLAIM, retrospective (consideration)",High (dates) / Low ($800),U.005,The consideration stays UNKNOWN; no average of 10 percent and 12 percent anywhere
Apple,stage1,1975,"No 1975 document in the cached corpus names the machine, the venture or either founder",UNKNOWN,UNKNOWN,A2-05; A2-76 (headers excluded per A2-77),FACT (documented absence bounded),High within the cached span,U.032,Homebrew Vol 1 No 1-8 not on disk: the null is bounded and not general (U.044)
Apple,stage1,1976-11-20,Wozniak and Jobs demonstrate the prototype Apple-II to BYTE's editor in a Palo Alto motel room; same-evening BASIC session,Stephen Wozniak; Stephen Jobs; Carl Helmers,Palo Alto CA,A2-31/A2-59 (published 1977-04),CONTEMPORARY OBSERVATION,Medium-High,U.033,Single friendly witness; observer neutrality not assumed (A2-48)
Apple,stage1,1976-12-10/1977-01-19,Homebrew newsletters - the only in-window primary series that had tracked the firm monthly - carry ZERO body-line references across the incorporation month,club editors including Robert Reiling,Sunnyvale / Cupertino CA,C-20; sources/ia_homebrew/hcc0211.txt hcc0213.txt,FACT (documented absence),High,U.021,Silence is not inactivity; BYTE 1977 is also silent until April
Apple,stage1,1977-04-11,"Earliest US patent application naming Apple Computer, Inc. as assignee: US4136359A, inventor Stephen G. Wozniak, granted 1979-01-23",Wozniak; Apple Computer Inc; USPTO,United States,S1M-10 (was CS-05 local),FACT (register data),Medium-High (non-exhaustive search),U.034,"Post-window; names the corporation, never the partnership; a search null not a register null"
Apple,stage1,1980-12,"4.6 million shares at $22 printed as 8 per cent of 52.4 million shares; the FY1978-FY1980 series and the pre-IPO cap table print; Ronald Wayne appears nowhere in the recap",Apple; underwriters; Jobs; Wozniak; Markkula; Venrock; Xerox,Cupertino CA / Peterborough NH,A2-49; A2-50 (sources/ia_byte_1981/),FACT (as printed) / DERIVED (the ratios),High as printed / Low as evidence of 1976-77,U.010; U.011; U.023,"OUT OF WINDOW, logged as the outer edge of the record; 4.6/52.4 = 8.78 percent does not reconcile with 8 percent"
