company,stage,conflict_id,section,claim_a,claim_a_source,claim_a_date,claim_b,claim_b_source,claim_b_date,why_they_differ,evidence_weight,best_supported_interpretation,residual_uncertainty,confidence
Walmart,stage1,U.036,"T; A4 §Contradictions [pre-merge local key U-A4/2; renumbered at merge 2026-09-26 per U.0.1, reasoning unchanged]",Kresge 1966 cover story at p.26 (Jan.29 1966),sim_business-week_1966_index_0 lines 18506-18507,1966-01-29,Kresge 1966 cover story at p.126,sim_business-week_1966_index_0 lines 8338 and 26577,1966-01-29,the same OCR duplication mechanism; equal printings from the same volume,each reading has one printing and neither is independent,"no page is asserted; the entry is cited by headline, cover status and date only",unresolvable on this route,High that a Kresge cover story existed on that date; UNKNOWN as to its page
Walmart,stage1,U.037,"E; H; A4 §Contradictions [pre-merge local key U-A4/3; renumbered at merge 2026-09-26 per U.0.1, reasoning unchanged]",The discount sector was in financial distress and consolidating by failure in 1962: Business Week's index carries four failure/bankruptcy/shake-out stories plus an industry-level 'facing a major shakeout' statement inside twelve months,"S0112 (BW 1962 index, p.101 Oct.6, p.83 Oct.27, p.146 Sep.22, p.78 Dec.1)",1962-12-01,"The registrant's own reports describe the 1962 founding as a planned, untroubled move, repeated in consecutive annual reports",WALMART_AR_1972.txt through WALMART_AR_1980.txt (A3 §7.2(c)); A3 origin narrative,1972-03-22,different subjects: A is an industry diagnosis made in real time by a third party; B is a company's later account of its own decision — neither is a factual contradiction about the same variable,"A is contemporaneous and third-party (Tier 2, index-level); B is retrospective and single-lineage (Tier 1 as to the company, none as to the sector)","both are recorded, and the dataset states that the sector condition in which the company was founded is independently evidenced while the founding decision itself is not",whether Wal-Mart's founders read or acted on the shake-out coverage: NO evidence either way and no inference is offered,High that the two claims are of different kinds
Walmart,stage1,U.038,"E; P; A4 §Contradictions [pre-merge local key U-A4/4; renumbered at merge 2026-09-26 per U.0.1, reasoning unchanged]",A3 §7.2(c) requires an independent lineage to corroborate the registrant's figures — i.e. a non-company publication carrying a Wal-Mart number,A3 §7.2(c) and §7.2(d),1972-03-22,"No periodical reached in A4 carries any Wal-Mart figure at all, so nothing exists to disagree with: 0 press figures across 10 BW index years, 5 Stores annual indexes and 8 Stores monthlies",S0112-S0136; §Independent figures final row,1980-04-01,"this is a conflict of expectation against absence, not of two incompatible values; the register must not read the empty row as a resolved corroboration",high-confidence absence within a stated perimeter; the perimeter excludes three host families that were then unreachable and one (HathiTrust) now re-opened unread,the row is recorded as EMPTY-within-the-corpus and the independent-lineage count stays at 1; no silent substitution of a sector figure for a company figure,"whether any of the 573 HathiTrust full-view 1970s records (S0137) carries a Wal-Mart number: UNKNOWN, no text read",High that the row is empty in the corpus read; UNKNOWN as to the world
Walmart,stage1,U.039,"H; A4 §Independent figures [pre-merge local key U-A4/5; renumbered at merge 2026-09-26 per U.0.1, reasoning unchanged]",The discount industry was a fast-growing $6-billion industry facing a major shakeout,Business Week p.78 Dec.1 1962 (S0112),1962-12-01,Discount stores amounted to $6.9 billion in 1962,Business Week short item p.132 Jul.13 1963 (S0114),1963-07-13,one is a rounded contemporaneous characterisation with an unstated universe; the other is a specific figure for the completed year published seven months later and printed as an OCR fragment whose subject noun is lost,"both Tier-2 index-level citations from the SAME publisher, neither checkable because no article text is reachable","$6.9bn is the figure the weekly later reported for calendar 1962 AND $6.0bn stands as the figure it published during 1962; both printed, neither chosen, neither used as a denominator",the definition of the counted class is UNKNOWN in both cases; the 15 percent gap is material to any share calculation,Medium that both were published; UNKNOWN what either measured
Walmart,stage1,U.040,"H; A4 §Independent figures [pre-merge local key U-A4/6; renumbered at merge 2026-09-26 per U.0.1, reasoning unchanged]",The number of discount stores was decreasing while units grew larger and chains squeezed the little guys,Business Week p.182 Nov.16 1963 (S0114),1963-11-16,Wal-Mart's store count rose from 51 (FY1971) to 78 (FY1974) with positive same-store growth,WALMART_AR_1974.txt Five Year Progress Report; A3 Tables S1 and S3,1974-03-21,different universes measured by different instruments: an industry unit count in a headline versus one firm's audited store count,A is Tier-2 index-level with its numeric content unreachable; B is Tier-1 auditor-attested,both stand and the dataset refuses to explain the gap; the sector's contraction is NOT converted into the company's good fortune,whether anyone at Wal-Mart could or did observe the 1963 consolidation is UNKNOWN and no inference is offered,High that both claims exist; UNKNOWN as to any causal relation
Walmart,stage1,U.041,"H; A4 §Independent figures [pre-merge local key U-A4/7; renumbered at merge 2026-09-26 per U.0.1, reasoning unchanged]",A published store-size-to-trading-area rule plus a warning of serious over-concentration of discount stores,"Stores December 1961 NRMA Discount Seminar, Perry Meyers session (S0133 offsets 84160 and 84355)",1961-12-01,"The first Wal-Mart Discount City opened in Rogers, Arkansas, then a town of approximately 4700 / approximately 5,000 people, in a 30,000-60,000 sq ft format",WALMART_AR_1975.txt and WALMART_AR_1978.txt (and A3 U-A3/8),1975-03-28,"A is trade guidance to conventional stores considering a discount venture, printed three months before the opening; B is a retrospective self-report about a store actually built, and B's own two population figures already disagree with each other",A is third-party and contemporaneous but its table is OCR-mangled; B is Tier-1 but retrospective and internally inconsistent,recorded as an unresolved divergence; NOT narrated as advice ignored and NOT as advice confirmed,column pairing of the printed table; the definition of trading area; and whether any Walton read or attended NRMA material — all UNKNOWN,Medium that the texts diverge; UNKNOWN which reading of the table is right
Walmart,stage1,U.042,"T; A4 §Findings [pre-merge local key U-A4/8; renumbered at merge 2026-09-26 per U.0.1, reasoning unchanged]","Small town greets the discounters p.90 Oct.3 1964 is indexed under ALDENS, Inc.",sim_business-week_1964_index_0 offset 665015,1964-10-03,The same headline in the DISCOUNT Houses block continues Gamble-Skogmo is opening franchised ...,sim_business-week_1964_index_0 offset 828735,1964-10-03,Business Week's company alphabet and its subject block attribute the same story to two different Minnesota-based variety and mail-order operators,"same publisher, same volume, both placements genuine",immaterial to the verdict and therefore NOT adjudicated: under either attribution the article is a competitor's small-town discount expansion,which firm the article chiefly concerned; resolvable only from the unreachable article text,High that neither attribution supports a Wal-Mart reading
Walmart,stage1,U.043,"A4 §Data gaps / §Depth-verdict; MASTER_RESEARCH_LOG [pre-merge local key U-A4/9; renumbered at merge 2026-09-26 per U.0.1, reasoning unchanged]","A4's own UNANSWERED list and B_periodical_retest.md record HathiTrust as a TLS failure and Google Books as 429, and A4's method section says the 18 unspent requests were withheld because those hosts 'would return the same 403 / TLS failure / 429'","A4 §Working method (written 2026-09-25, before the repair); B_periodical_retest.md",2026-09-25,"The harvester's repair shows both families answering: the probe records 4 x HTTP 200 from babel.hathitrust.org (391,767 / 370,909 / 238,566 / 34,171 B) and repeated 200s from books.google.com feeds, and A4's own re-probe got 200 / 369,430 B through curl",00_universe/harvest/_probe_fixed_20260925/_MANIFEST.md and _REQUEST_LEDGER.tsv; S0137; S0138,2026-09-25,"the environment changed mid-dossier and the client differs: A4's urllib carries a CA bundle that sees an expired certificate on babel.hathitrust.org, while curl on the same machine negotiates the same host at HTTP 200, so 'blocked' was true of one client and not of the machine","the probe evidence is the harvester's own byte-verified log and A4 reproduced one call independently; both legs are route evidence, not company evidence","A4's blocked-host rows are AMENDED not deleted: Chronicling America remains 403 (verified again in the probe, three rounds); Google Books is open only on the undateable feeds endpoint (v1 API 429); HathiTrust is open and is where the named-witness search now has to run","no HathiTrust item text has been read, so whether the re-opened route contains the witness is UNKNOWN; and the GB feeds endpoint's date params are ignored, so its in-window test has never actually been run",High that the route state changed; UNKNOWN as to what it yields
Walmart,stage1,U.001,E; D; Q [drafted by s1_p2.md merge block as U-E/1; canonical id issued centrally at merge per U.0.1],The first Wal-Mart Discount City opened in November 1962,"Wal-Mart Stores Inc. annual reports FY1975 and FY1978 (company profile and founding narrative), S0104/S0107",1978-04-14,"The first Walmart store opened on July 2, 1962","corporate.walmart.com/about/history (extract), EXTRACT_corporate_walmart_history_timeline.md; A2 W-118",2026-09-23,Different instruments and purposes: A is dated narrative inside four audited registrant documents; B is an undated marketing page carrying zero citations whose provenance chain this repository has never seen,"four printings of A inside signed annual reports against one uncited page; both are the same registrant lineage, so the independent-origin count for either month is zero","1962 is attested; the MONTH is not. Where a month must appear the corporate-print month is used with U-E/1 cited beside it, and July 2 is never presented as documented","no 1962 newspaper item, lease, permit, register tape or photograph exists in this corpus; the 1962 grand-opening flyer lead (W-20) was never retrieved; Arkansas and Missouri newspaper archives and the Arkansas SoS file are UNTRIED",High (that the two company sources disagree); UNKNOWN (the opening date)
Walmart,stage1,U.034,F [drafted by s1_p2.md merge block as U-F/1; canonical id issued centrally at merge per U.0.1],"Stores served communities with an average population of 10,000-15,000, within a 350 mile radius of Bentonville","Wal-Mart Stores Inc. FY1975 report, S0104",1975-03-28,"Stores are 'located primarily in towns having populations from 5,000 to 25,000'","Wal-Mart Stores Inc. FY1978 and FY1980 reports, S0107 and S0109",1980-04-01,"An average is not a bound, and 'communities served' is not 'towns where stores are located'; the two sentences describe different quantities, printed three and five years apart",both contemporaneous to their own fiscal year and both as-filed; neither is corroborated by any outside source,both statements are kept and neither supersedes the other; the FY1975 band may describe the settled fleet while the later band describes the whole site policy,"no document in the corpus pairs any store with its town's population, so which rule governed which openings is unknowable from this evidence",High (both printed); UNKNOWN (which rule governed site selection)
Walmart,stage1,U.031,K; boundary; A [drafted by s1_p2.md merge block as U-A2/2; canonical id issued centrally at merge per U.0.1],"The 1970 public offering was 200,000 shares sold 8 October 1970 for net proceeds of $3,030,467 ($3,010,467 over par)","Wal-Mart Stores Inc. FY1972 report, capital note and statement of changes in financial position, S0101",1972-03-22,The first stock was sold at $16.50 per share,"corporate.walmart.com/about/history (extract), W-12/W-118",2026-09-23,"A states net proceeds and share count but no gross price; B states a price but no date, count, proceeds, underwriter or citation",A is auditor-attested registrant print; B is uncited company self-narrative. Both are one lineage,the offering is dated and sized at Tier 1; the gross offer price is not evidenced. Implied NET per share $15.15 is DERIVED and is not reconciled with $16.50,"no 1970 registration statement, prospectus or underwriting agreement is on disk; the $16.50 and $15.15 pair has no licensed bridge",High (the note's contents); UNKNOWN (gross price)
Walmart,stage1,U.027,G; Q [drafted by s1_p2.md merge block as U-A2/3; canonical id issued centrally at merge per U.0.1],"A distribution centre of 60,000 sq ft was doubled to 124,800 sq ft, the addition completed 15 August 1971","Wal-Mart Stores Inc. FY1972 report, President's message, S0101",1972-03-22,The first distribution centre opened in 1970 (PBS) / 1971 (company page) / 1970 location unspecified (SCDigest) / a leased Springfield Missouri warehouse (lore),EXTRACT_corporate_walmart_history_timeline.md; EXTRACT_pbs_2004_timeline.md; EXTRACT_scdigest_2012_timeline.md,2004-08-20,"Four retrospective accounts, none citing a lease or a filing; the registrant print describes an EXPANSION of a facility that already existed, which none of the four narratives does",the registrant sentence is contemporaneous and inside an audited document; all four alternatives are retrospective and uncited,a distribution facility stood before 1971-08-15 and was enlarged then; the 'first DC' year and town in the secondary accounts are not evidence,"no lease, deed or DC-opening document exists in this corpus; Benton County and Greene County (MO) records are UNTRIED",High (the 1971 enlargement); Low (any 'first DC' date)
Walmart,stage1,U.032,K [drafted by s1_p2.md merge block as U-A2/4; canonical id issued centrally at merge per U.0.1],"The April 1972 offering added approximately $9,250,000 of equity capital and placed stock with over 3,400 holders","Wal-Mart Stores Inc. FY1973 report, President's letter, S0102",1973-03,"Paid-in capital rose $8,913,504 on the sale of 400,000 shares at $23.75 before expenses, i.e. $9,500,000 gross","Wal-Mart Stores Inc. FY1973 report Note 4, S0102",1973-03,"three totals coexist in one document (gross arithmetic, letter rounding, amount posted to paid-in) and the bridge between them is not disclosed",all three are the same document and the same lineage; none is independent of the others,no single figure is 'the raise'; register rows must carry the basis label of whichever figure they print,"underwriting expense, over-allotment and option/warrant proceeds are not separately disclosed for the month of April 1972",High (that the three figures coexist); Medium (any total used alone)
Walmart,stage1,U.028,G [drafted by s1_p2.md merge block as U-A2/5; canonical id issued centrally at merge per U.0.1],"The General Office and Distribution Center at Bentonville was increased during 1972 to 261,800 sq ft all under one roof","Wal-Mart Stores Inc. FY1973 report, S0102",1973-03,"the same building is printed at 263,800 sq ft with an open house dated 3 December 1972","Wal-Mart Stores Inc. FY1976 report, growth note, S0105",1976-03-26,"two registrant prints of the same facility two fiscal years apart, 2,000 sq ft apart",each is contemporaneous to its own report; the later print is retrospective about the earlier year,both prints are carried in §G.3 rather than averaged; no document reconciles them,the square footage may measure different envelopes (office included/excluded); the documents do not say,Medium (the discrepancy is real and small); UNKNOWN (its cause)
Walmart,stage1,U.029,B; E; L [drafted by s1_p2.md merge block as U-A2/6; canonical id issued centrally at merge per U.0.1],The Walton brothers assembled a group of fifteen Ben Franklin variety stores between 1945/1946 and 1962,"Wal-Mart Stores Inc. FY1975, FY1978, FY1979 and FY1980 reports, S0104/S0107/S0108/S0109",1980-04-01,fourteen Ben Franklin variety stores were still trading at 1 January 1970 and nine 'variety and family center stores' existed in FY1973,"Wal-Mart Stores Inc. FY1980 report and FY1973 report, S0109 and S0102",1980-04-01,"a cumulative assembly total against period-end trading counts, plus a label drift from 'Ben Franklin stores' to 'variety stores' and a one-year disagreement on the start of the count (1945 vs 1946)","all prints are the same registrant lineage; the trading counts are arithmetically consistent with run-down of an assembled group, which is an internal check not a second source","both are kept: fifteen assembled and fourteen/nine trading at those dates are compatible only if closures are admitted, and the FY1974 report does print two sold and four closed","no document lists which stores, where, when acquired, or how many entered the 1970-02-01 pooling; no partnership deed exists in this corpus",Low (the count); High (that each report says it)
Walmart,stage1,U.011,B; D [drafted by s1_p2.md merge block as U-A2/7; canonical id issued centrally at merge per U.0.1],"The 1945 Ben Franklin franchised start was in Newport, Arkansas","Wal-Mart Stores Inc. FY1975-FY1980 reports, five documents, S0104-S0109",1980-04-01,"Newport is in Nebraska (an internal 2026-09-23 project 'correction' against vintagebentonville) / Newport, Kentucky (A4 dossier prose)",A_chronology_feasibility.md W-19 and its own supersession note; A4_independent_periodicals.md A4-16/A4-18/A4-23,2026-09-24,"the registrant placed it in Arkansas from 1975 onward; the project's own correction asserted Nebraska and A4's prose asserted Kentucky - two wrong states introduced after the fact, neither sourced","five registrant documents naming Newport, Arkansas, plus FY1973/FY1976 store lists placing Newport among Arkansas towns; the rival readings have no document at all","Newport, ARKANSAS is the only reading any document in this corpus supports; the 'correction' is itself the refuted error and 1945-50 Newport sits in Mississippi County, Arkansas","the 1945 event itself remains independently undocumented; the state is settled by the print, the year is not",High (Arkansas); Low (that any 1945 event is documented)
Walmart,stage1,U.025,L; P [drafted by s1_p2.md merge block as U-K/1; canonical id issued centrally at merge per U.0.1],FY1976 total expense ratio was 20.5% of sales,"Wal-Mart Stores Inc. FY1976 report, shareholder letter, S0105",1976-03-26,FY1976 total expense ratio was 20.0% of sales,"Wal-Mart Stores Inc. FY1976 report, Management's Analysis, S0105",1976-03-26,"two stated ratios for the same fiscal year inside the same document; the derived value from the summary rows is 20.01%, which supports the analysis figure","both are the company's own; the arithmetic of the same table's rows breaks the tie in favour of 20.0%, but the letter is the more widely quoted number",print both; §L uses the DERIVED 20.01% and states the pair rather than choosing,the letter's 20.5% may be a different expense definition (e.g. including interest) - no document states it,Medium (that the pair disagrees); High (the derived ratio)
Walmart,stage1,U.013,B; C; N; boundary,"The company was incorporated as Wal-Mart Stores, Inc. in 1969","corporate.walmart.com/about/history (extract), sources/EXTRACT_corporate_walmart_history_timeline.md",2026-09-23,"The consolidated registrant was created by a pooling-of-interests exchange effective 1970-02-01 out of the various subsidiaries held by Walton Enterprises, Inc.; and lore holds Wal-Mart, Inc. incorporated 15 March 1962","Wal-Mart Stores Inc. FY1972 report Note 1, S0101 (the 15 March 1962 leg is UNATTESTED anywhere on disk)",1972-03-22,"a corporate-history page compresses a multi-entity reorganisation into one anniversary date, and separate lore supplies the missing operating entity with a day and a month; the audited note never claims to be a founding story","the 1970-02-01 pooling is Tier-1, audited and dated to the day; the 1969 claim is Tier-1 as an artifact and uncited as evidence; the 1962 charter has no document at all","the 1962-vs-1969 argument is the wrong frame: the documented event is 1970-02-01 (kept as the live losing rival for the stage close); the 1962 operating entity remains a separate, still-undated question","names, dates and states of every predecessor entity; what Walton Enterprises, Inc. was; whether any 1962 or 1969 charter exists. Arkansas SoS and county records UNTRIED (U.211); EDGAR formerNames search in flight (U.203)",High on 1970-02-01; UNKNOWN on 1962 and 1969
Walmart,stage1,U.014,Header; B; D,"Wal-Mart Stores, Inc. is a Delaware corporation incorporated 1969-10-01",_parts/s1_p1.md header block and §D record D-R03 (an upstream probe assertion carried into a volume header),2026-09-23,"No document in sources/ states a state of incorporation or a 1969 date at day precision: 'Delaware' occurs 0 times across the nine printed annual reports and the company page gives 1969 as a year only, uncited",negative search across WALMART_AR_1972.txt … WALMART_AR_1980.txt; sources/EXTRACT_corporate_walmart_history_timeline.md,1972-03-22 to 1980-04-01,an inherited upstream assertion was never grepped against the corpus (method §14 rule 8); the only 'Delaware' strings in the corpus are a state navigation list in walmart_museum_page.html and an unrelated SEC ticker file,the verified negative covers nine Tier-1 documents; the assertion rests on none,"State: UNKNOWN · Day: UNKNOWN · Date carried: 1969 (company-asserted, year only) · Class: UNKNOWN · the claim is RETRACTED, not restated","whether a charter exists at the Arkansas SoS or in Benton County records (U.211) or whether EDGAR's formerNames field states a state (U.203, in flight)",High (that no local document supports either element)
Walmart,stage1,U.015,D; P; Q,1975-08-19 was the one and only two-for-one stock split in the attested series and no second split exists in the corpus,_parts/s1_p1.md §D record D-R09,2026-09-25,"The corpus prints THREE two-for-one events: 1971-06-11 (1,500,000 shares, $150,000 par charge) and 1972-04-05 (3,000,000 shares, $300,000) inside the audited FY1972 capital note, plus 1975-08-19 (+6,687,789 shares) in the FY1976 report Note 4","Wal-Mart Stores Inc. FY1972 report capital note, S0101; FY1976 report Note 4, S0105",1972-03-22 / 1976-03-26,a count taken from one comparative table instead of from the note that authorises the events,the refutation is printed in two Tier-1 audited documents; the original claim rests on none,"three splits printed, of which exactly one (1975-08-19) falls inside the EPS-restatement dispute — proven by the halving pattern FY1974 $.93 then $.47, i.e. ONE adjustment not two; and 1975-08-19 is OUTSIDE Stage 1's window","whether further splits sit in the FY1981-FY1998 reports (UNTRIED, outside stage, U.220)",High (that the single-split claim is refuted)
Walmart,stage1,U.019,P; A3 §3.6,"FY1972-FY1976 net income as published: 2,907k / 4,591k / 6,159k / 6,353k / 11,506k","Wal-Mart Stores Inc. FY1972-FY1976 reports, S0101-S0105",1976-03-26,"FY1980 ten-year table: 2,806k / 4,439k / 5,954k / 5,995k / 11,132k, with FY1976 pre-tax 22,057k not 22,798k","Wal-Mart Stores Inc. FY1980 report ten-year summary, S0109",1980-04-01,"retroactive application of SFAS-13 to store capital leases, over a base already broken by the LIFO change effective 1975-01-31","both Tier-1, same lineage, same auditors; A is what investors were told at the time, B is the series' final audited shape","quote A for any statement about what was known when and B for comparison with FY1979/FY1980, labelling every figure as-filed or restated; there is no third figure that is 'the real' number",the FY1971-FY1974 restated values are read from OCR-scrambled FY1980 middle rows and whether pre-tax income was restated for those years is not shown; FY1975-FY1978 restated values print clean in FY1979 (COR-A3-03),High (that a restatement occurred); Low (individual pre-1976 restated values)
Walmart,stage1,U.026,A; P,"FY1980 ten-year dividend row: 1976 $.09, 1977 $.11, 1978 $.19, 1979 $.25","Wal-Mart Stores Inc. FY1980 report ten-year summary, S0109",1980-04-01,"Each year's own report: $.065 (FY1976), $.085 (FY1977), $.16 (FY1978, quarterly .025/.045/.045/.045), $.22 (FY1979, four quarters at $.055)","Wal-Mart Stores Inc. FY1976-FY1979 reports, S0105-S0108",1976-03-26 to 1979-04-06,no split factor reconciles the two series ($.09 / .065 = 1.38 is not a split) and the documents supply no bridge; the candidates are a typesetting/OCR failure in the ten-year block or an unstated alternative basis,four contemporaneous prints against one retrospective table whose middle rows are independently known to be OCR-damaged (A2 W-69),the contemporaneous rows govern; the FY1980 row stays on the record as printed and is BARRED from quantitative.csv and from any per-share dividend series (COR-A3-04),why the FY1980 table prints what it does: the FY1980 page image is UNTRIED (U.206),High
