source_id,stage,claim_supported,source_title,author_or_publication,source_type,primary_or_secondary,event_date,publication_date,access_date,url,archived_url,tier,evidence_class,confidence,independence_note,relevant_passage,notes
S4211,stage1,context only,Dayton Hudson Corporation Annual Report 1975 (OCR text layer),Dayton Hudson Corporation,corporate stockholder report,primary,1975,1975,2026-09-25,archive.org item 01-target-archive per-year DjVuTXT layer (exact URL in file sidecar),held locally: sources/corporate_print/1975_dayton_hudson_djvu.txt,1,CONTEMPORANEOUS,Medium,digitised by a third-party backfile service not by the company,Dayton Hudson Corporation Annual Report -- 1975,verified TLS; a provenance line names ProQuest Historical Annual Reports  MERGE ID RESOLUTION 2026-09-26: global S4211 = dossier-local B1S11 (local ids retired; the map is in stage_1_index.md).
S4212,stage1,U.001 and pre-history,Target Corporation Annual Report 1999 (OCR text layer),Target Corporation,corporate stockholder report,primary for 1999 and self-account for 1902-1962,1902-1999,1999,2026-09-25,archive.org item 01-target-archive per-year DjVuTXT layer (probe-fetched),held locally: sources/corporate_print/1999_annual_report_djvu.txt,1,RETROSPECTIVE INTERPRETATION,Low,same lineage as S4201; a reprinted company history page is one source,George Dayton opens Goodfellows in down,tick-to-blurb pairing unresolved (probe G4); never load-bearing for Stage 1  MERGE ID RESOLUTION 2026-09-26: global S4212 = dossier-local B1S14 (local ids retired; the map is in stage_1_index.md).
S4213,stage1,U.001 side A,Twin Cities / St Paul Pioneer Press obituary 2013-07-06,unknown - NOT HELD,newspaper,secondary,2013,2013-07-06,UNKNOWN,NOT HELD - web lead only from probe family e,none,2,RETROSPECTIVE SOURCE,Low,NOT HELD so it cannot be evidence - a named assertion only,Target Stores founder Douglas Dayton,"LEAD ONLY; fetch into sources/documentary/ before any use (U-2)  MERGE ID RESOLUTION 2026-09-26: global S4213 = dossier-local B1S12 (local ids retired; the map is in stage_1_index.md).  MERGE 2026-09-26: the emission wrote NOT ACCESSED in the access_date column; the year-bearing date rule moves prose out of a date column, so the cell is now UNKNOWN and the fact stays here: this carrier has never been accessed and is a web lead only."
S4214,stage1,U.001 side B,John Francis Geisse biography pages,unknown - NOT HELD,biographical web page,secondary,1992,UNKNOWN,UNKNOWN,NOT HELD - web lead only from probe family e,none,4,RETROSPECTIVE SOURCE,Low,NOT HELD; a Tier-4 lead that must be chased to a Tier 1/2 carrier,presents Geisse as the Target concept originator,"LEAD ONLY; unheld (U-2)  MERGE ID RESOLUTION 2026-09-26: global S4214 = dossier-local B1S13 (local ids retired; the map is in stage_1_index.md).  MERGE 2026-09-26: the emission wrote NOT ACCESSED in the access_date column; the year-bearing date rule moves prose out of a date column, so the cell is now UNKNOWN and the fact stays here: this carrier has never been accessed and is a web lead only."
S4215,stage1,H01 / N1-family null,Chain Store Age - Steel for Stores (April 1963 advertising section),Chain Store Age,trade periodical,primary for the category,1963,1963-04,2026-09-26,"archive.org item chain-store-age-steel-for-stores, file Chain store age - Steel for Stores_djvu.txt (percent-encoded)","sources/periodicals_csa_1963/Chain_store_age_Steel_for_Stores_djvu.txt (170,260 B; verified TLS)",1,CONTEMPORARY OBSERVATION,High,THE ONLY INDEPENDENT IN-WINDOW CARRIER HELD; it does not name the company once,"Before the first—the shopping-center revolution—had run its course, the second—the discount store revolution—began to make itself felt.","Grep over 168,433 chars: Target 0, Goodfellow 0, Minnesota 0; Dayton 2 (non-company), Hudson 3, discount 14. Not emitted by B1 - a new carrier for the merge  MERGE ID RESOLUTION 2026-09-26: global S4215 = dossier-local P1S05 (local ids retired; the map is in stage_1_index.md)."
S4216,stage1,U.006 U.024 ; A04 / N7 / boundary floor,'01-target-archive' item metadata listing,Internet Archive,catalogue metadata,primary,1965-2024,UNKNOWN,2026-09-26,https://archive.org/metadata/01-target-archive,held locally: sources/ia_search/meta_01-target-archive.json,1,CATALOG-LEVEL FACT,High,the only evidence for the 1965 to 2024 layer run,61 DjVuTXT layers listed with per-file names || NO_VERBATIM_PASSAGE_RECORDED,"proves the FY1965 floor (U.024) and proves the uploader labels are wrong (U.006); 259567 B  MERGE[S4216 <- P1S06 author_or_publication: Internet Archive (catalog metadata; uploader labels are not evidence)]  MERGE[S4216 <- P1S06 primary_or_secondary: secondary]  MERGE[S4216 <- P1S06 archived_url: sources/ia_search/meta_01-target-archive.json (259,567 B)]  MERGE[S4216 <- P1S06 evidence_class: CATALOG-LEVEL NULL]  MERGE[S4216 <- P1S06 independence_note: metadata proves the run is 1965-2024; it proves nothing about what the company did before 1965]  MERGE[S4216 <- P1S06 notes: 61 DjVuTXT layers, none before FY1965; 17 Image Container PDF legs 1965-74/1976/1985-86/1990-91/1994 exist unopened (UNTRIED-1); uploader file names label 1965-1998 as Dayton Hudson Corp (DH) which U.003 refutes]  MERGE ID RESOLUTION 2026-09-26: global S4216 = dossier-local P2S05 + P1S06 (local ids retired; the map is in stage_1_index.md)."
S4217,stage1,U.003 U.007 ; Boundary 1 (registrant line and formerNames),EDGAR submissions index for CIK 0000027419 including formerNames and the slice list,SEC EDGAR,regulatory index JSON/CSV,primary,1994-02-10 to 2026-09-18,UNKNOWN,2026-09-26,https://data.sec.gov/submissions/CIK0000027419.json,held locally: sources/_index/raw_submissions_CIK0000027419.json + _INDEX.md + submissions.csv (2628 rows),1,REGISTRANT-LINE FACT,High,independent of the company,formerNames: DAYTON HUDSON CORP from 1994-12-09 to 1999-04-12 || NO_VERBATIM_PASSAGE_RECORDED,"no document before 1994-02-10 and no UNANSWERED slices; silent on 1962 by construction  MERGE[S4217 <- P1S07 source_title: Target Corp submissions index and raw submissions JSON]  MERGE[S4217 <- P1S07 author_or_publication: U.S. Securities and Exchange Commission]  MERGE[S4217 <- P1S07 url: sec.gov submissions API CIK 0000027419]  MERGE[S4217 <- P1S07 archived_url: sources/_index/raw_submissions_CIK0000027419.json (149,561 B, HTTP 200); sources/_index/submissions.csv (2,628 rows); _INDEX.md]  MERGE[S4217 <- P1S07 independence_note: the registrant's own index; it cannot witness anything before its own floor]  MERGE[S4217 <- P1S07 notes: formerNames carries EXACTLY ONE entry: DAYTON HUDSON CORP 1994-12-09 to 1999-04-12. Earliest filing 1994-02-10 (SC 13G), first 10-K 1994-04-21; 0 of 2,628 rows earlier; no UNANSWERED slices. The script's normalised copy discards formerNames - the raw fetch is the reason the fact is known]  MERGE ID RESOLUTION 2026-09-26: global S4217 = dossier-local P2S06 + P1S07 (local ids retired; the map is in stage_1_index.md)."
S4218,stage1,U.025,U four EDGAR name-to-CIK browse responses returned HTTP 503,SEC EDGAR,negative artifact (error page),primary,1962-1999,UNKNOWN,2026-09-26,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany (four company terms),held locally: sources/name_search/dayton+hudson.atom + dey+brothers.atom + goodfellow.atom + target+corporation.atom,1,UNANSWERED - dead route,UNANSWERED,not a source of facts and never citable as an absence,(no readable passage - 7747 B SEC error page each) || NO_VERBATIM_PASSAGE_RECORDED,"UNANSWERED not null: a predecessor registrant was never ruled in or out (U.025; route U.036)  MERGE[S4218 <- P1S08 source_id: S4218 + S4219 + S4220]  MERGE[S4218 <- P1S08 source_title: Negative artifacts: EDGAR name-to-CIK 503 bodies, EDGAR full-text zero-hit responses, Wayback CDX 503 bodies]  MERGE[S4218 <- P1S08 author_or_publication: SEC / Internet Archive (error pages)]  MERGE[S4218 <- P1S08 primary_or_secondary: secondary]  MERGE[S4218 <- P1S08 url: sec.gov/cgi-bin/browse-edgar (action=getcompany) x4 terms; efts.sec.gov search-index x4 terms; web.archive.org/cdx x2]  MERGE[S4218 <- P1S08 archived_url: sources/name_search/*.atom (7,747 B each x4); sources/name_search/fts_*.json (4 zero-hit responses); sources/web_archive/cdx_targetcom.txt and cdx_dhc.txt (11,832 B each)]  MERGE[S4218 <- P1S08 evidence_class: NOT-ANSWERED]  MERGE[S4218 <- P1S08 confidence: High]  MERGE[S4218 <- P1S08 independence_note: an error page is a dead route, never an absence; the FTS zeros are an index floor that begins 2001]  MERGE[S4218 <- P1S08 notes: Kept deliberately so no later pass reads a 503 as a null. Predecessor-CIK question stays open (UNTRIED-7)]  MERGE ID RESOLUTION 2026-09-26: global S4218 = dossier-local P2S02 + P1S08 (local ids retired; the map is in stage_1_index.md)."
S4219,stage1,U.005 U.027,U four EDGAR full-text-search responses with zero hits in 1940-1995,SEC EDGAR,API JSON (index-floor artifact),primary,1940-1995,UNKNOWN,2026-09-26,https://efts.sec.gov/LATEST/search-index?q=... (four terms; date range 1940-01-01 to 1995-12-31),held locally: sources/name_search/fts_*Dayton+Company*.json + fts_*Dey+Brothers*.json + fts_*Goodfellow*.json + fts_*Dayton+Hudson*.json,1,INDEX FLOOR - not a null,UNANSWERED,the FTS corpus begins 2001 so a zero here cannot describe 1940-1995,(no readable passage),never reportable as absence of the entity (U.027); unrestricted control query never run  MERGE ID RESOLUTION 2026-09-26: global S4219 = dossier-local P2S03 (local ids retired; the map is in stage_1_index.md).
S4220,stage1,U.026,U two Wayback CDX responses returned HTTP 503,Internet Archive,negative artifact (error page),primary,1996-2004,UNKNOWN,2026-09-26,https://web.archive.org/cdx/search/cdx?url=target.com* and url=dhc.com*,held locally: sources/web_archive/cdx_targetcom.txt + cdx_dhc.txt,1,UNANSWERED - dead route,UNANSWERED,independent of the company but unreachable,(no readable passage - 11832 B offline body each),family b contributed 0 held bytes; even a live CDX cannot reach 1962 (U.026)  MERGE ID RESOLUTION 2026-09-26: global S4220 = dossier-local P2S04 (local ids retired; the map is in stage_1_index.md).
S4221,stage1,U.027,sources/sec/_MANIFEST.csv header only,sec_intake.py,intake manifest,negative artifact,1960-01-01 to 1985-12-31,2026-09-26,2026-09-26,local: sources/sec/_MANIFEST.csv,local,1,MANIFEST OF AN EMPTY WINDOW,High,proves the route ran,"0 documents stored,0 skipped/unanswered",never cite as absence of filings: EDGAR carries no paper-era filings at all  MERGE ID RESOLUTION 2026-09-26: global S4221 = dossier-local P2S07 (local ids retired; the map is in stage_1_index.md).  COR-06 column-drift repair at merge: this row arrived with 19 fields for a 18-column header; the unquoted thousands/place commas inside the relevant_passage cell were re-joined at the printed split point. No value altered.
